img_path,text,str_len
/content/Receipts/1098-receipt.jpg,"Nick'S Tuscan Grill
149 Mineola Blvd
Mineola NY 11501
516-747-2545
www.nickstuscangril1.com
Minimum Credit/Debit Payment $20
907 Victor V
Tb 1 12/1
Gst 2
Mar18'18 10:54AM
Bar
FUSSILLI SP
1 Open Food
1 Ossobuco
22.00
1 Diet Coke
28.00
1 G 14 Hands Cab
2.50
10.00
Subtotal
Tax
62.50
Total
5.39
67.89
Minimum Credit/Debit Payment $20
Thank you for joining us today.",34
/content/Receipts/1099-receipt.jpg,"Mexican Restaurant & Bar
25 West San Fernando St.
San Jose, CA 95113
(408) 283-9595
Server: Pablo
12/29/2017
Table 40/1
1:17 PM
Guests: 3
30001
Reprint #: 1
3.25
Coffee
Enmoladas with Meat
14.95
pollo
Chicken Tenders
5.95
c O
Flautas Chicken
9.95
Coloradito
15.95
50.05
Subtotal
5.46
Tax
55.51
Total
Gratuity 18.00%
9.01
64.52
Total
Balance
Due
64.52
1!
Become a friend of US on
FACEBOOK to receive news
of
events & special offers !!
!! THANK YOU FOR COMING !!",41
/content/Receipts/1100-receipt.jpg,"83
DUPLICATE
**
M
3A0 SIRL. NI
0...0.60
Stony
16725 Stony Plain Rd
Edmonton AB T5P 4A9
Store#: 3859 Tel#: 780-414-8362
Welcome to all day breakfast
0 Mc Donald's
PLEASE TURN THIS OVER
192
KS#
03/10/2018 07:39:12 PM
PLEASE TURN THIS OVERI
QTY ITEM
TOTAL
Delivery
0.00
10 McNuggets EVM.
10.29
1 Barbeque Sauce
Barbeque Sauce
1 L Coke
0.40
1 M French Fries
HM GrChs S-Fry Yog
3.99
Snoopy
HM Apple Juice
2.89
¡HANO SIMA NUNA ESVET
1 6 Cookies
Choc Chip Cookie
1 Baked Apple Pie
1.19
French Fries
3.29
L Iced Tea
2.99
Subtotal
25.04
1.11
GST
Take-Out Total
26.15
CREDIT SALES McDelivery
26.15
PLEASE TURN THIS OVERI
0.00
Change
GST #: 120907092
SALE #04kdfwg532
PLEASE TURN THIS OVER!",67
/content/Receipts/1101-receipt.jpg,"KAZ RAMEN
22413 BARTON ROAD
GRAND TERRACE, CA 92313
9094229532
ORDER: T4G1
DINE IN
Cashier: Mickey
04-Nov-2018 9:07:13P
Guest
1
Tonkotsu
$9.50
Tofu $0.00
Egg $1.30
Corn $0.50
Bamboo shoots $1.00
Naruto $0.75
Spicy $0.00
Subtotal
$13.05
Tax
$1.01
Total
$14.06
Order 4AW465DENMVRT",19
/content/Receipts/1102-receipt.jpg,"OM INDIAN FOOD
204 Spring St
New York, NY 10012
(646) 756-4000
(646) 657-0514 (Fax)
TABLE T1
ORDER #2
2 Guests
Invoice #2143
4/15/16 12:03:14 PM
Manoj
1 Vegetable Biryani
$12.95
Malai Kofta
$12.95
1
Onion Naan
$3.95
SUBTOTAL:
$29.85
LUNCH DISCOUNT 50% OFF :
-$14.93
TAX:
$1.32
TOTAL:
$16.24
You have saved: $14.93",28
/content/Receipts/1103-receipt.jpg,"Crisfield Seafood
Restaurant
8012 Georgia Ave.
Silver Spring, MD20910
(301) 589-1306
DENIS
ORDER#
134
Carryout
12/29/2017 8:38:16 PM
#
8
GUESTS
-A
TAKE
OUT
Dinner Platters
1 Crisfield Special Platter
****
COOK MEDIUM
27.00
Extras
****
Pint Bisque
SUBTOTAL:
11.50
Carry Out
38.50
TAX:
1.93
Register
2.31
TOTAL:
T#0000144
$42.74
Last Serviced
12/29/2017 8:41:08 PM
Thank You!",20
/content/Receipts/1104-receipt.jpg,"Don Juan Mexican Restaurant
124 East Park Ave
Long Beach, NY 11561
(516) 442-4944
Server: Regina
Station: 4
Order #: 28731
Dine In
Table:
Guests: 2
2 Red Sangria Glass
14.00
#4-COMBO FAJITAS
22.95
Flour Tortilla
Chicken
Shrimp
Steak
#34-BURRITO SUPREME
w/ Beef
14.95
Bar Subtotal:
Food Subtotal:
14.00
NY State:
37.90
4.48
A=BE==
TOTAL:
$56.38
» Ticket #: 23 ‹
MODE THREes ME coce
THANK YOU!",35
/content/Receipts/1105-receipt-Edited.jpg,"THE =
PLACE
Shoot
2 BEI
The Place 2 Be
615 Franklin Ave
Hartford, CT 06114
8609047891
JOIN US FOR BOTTOMLESS BRUNCH
EVERY SATURDAY & SUNDAY
$15 BOTTOMLESS MIMOSAS *******
ORDER: Table 77
Dine-In
Cashier: Mariah
17-Feb-2018 9:41:47A
Guest 1
1
American Coffee
7
Nutella Coconut Pancakes
$1.75
Guest 2
$8.00
7
American Coffee
Cheddar Grits
$1.75
$10.00
Subtotal
Tax
$21.50
$1.37
Total
$22.87",31
/content/Receipts/1105-receipt.jpg,"THE =
PLACE
#hool
2 BEI
The Place 2 Be
615 Franklin Ave
Hartford, CT 06114
8609047891
https://www.Place2BeCT.com
JOIN US FOR BOTTOMLESS BRUNCH
EVERY SATURDAY & SUNDAY
$15 BOTTOMLESS MIMOSAS *******
ORDER: Table 17
Dine-In
Cashier: Mariah
17-Feb-2018 9:41:47A
Guest 1
1
American Coffee
7
Nutella Coconut Pancakes
$1.75
Guest 2
$8.00
7
American Coffee
Cheddar Grits
$1.75
$10.00
Subtotal
Tax
$21.50
$1.37
Total
$22.87",31
/content/Receipts/1106-receipt.jpg,"Lan Sheng
209 Paterson Ave.
Wallington N. J. 07057
Tel : 973.775.7100 Fax : 975.773.7101
Dine In
[ B2
Server: Mary
# 1011
2 Person
06/13/17
08:38 PM 09:17 P.
1
Spicy Chicken w. Spicy Garli $7.95
C Soy V.
Hf- Peking Duck
Stir Beef Fillet w. Tofu
$18.95
Pork w. Spicy
$15.95
Capsicum
1
White Rice (S)
$12.95
Pork w. Spicy Tofu & Cayen
$1.50
ne Chili
$12.95
SubTotal $70.25
Sales Tax
$4.90
Total
$75.15
Thank You
Have A Nice Day",49
